sigma,run,correlation,gini,top10_overlap
0.25,6,0.3848498884066644,0.7961508098610943,0.63
0.25,7,0.3468192120418717,0.7982101865299434,0.62
0.25,8,0.3493251222896079,0.791144458744563,0.56
0.25,9,0.6218433902383198,0.7635456325282265,0.61
0.25,10,0.40649603616021823,0.7784165188618367,0.63
0.25,11,0.41487772571838083,0.7892206977501056,0.61
0.25,12,0.5292908580219214,0.7839674894386531,0.605
0.25,13,0.5227129701640483,0.7691203097706187,0.635
0.25,14,0.41501973530534075,0.7966494744764179,0.625
0.25,15,0.5145510773517272,0.7866320915929367,0.6
0.25,16,0.5174975924052951,0.7685917570693044,0.595
0.25,17,0.4625143091063698,0.7739149499798321,0.595
0.25,18,0.48820582397819423,0.7805749377897302,0.615
0.25,19,0.45290124721812536,0.7858302916206394,0.595
0.25,20,0.5239120443043856,0.7726706473902561,0.62
0.25,21,0.31551525569676075,0.7923069320437118,0.575
0.25,22,0.47624608274918495,0.7824480307432921,0.625
0.25,23,0.5206410919403874,0.7724494416006238,0.61
0.25,24,0.3967481057603624,0.7943519313492036,0.645
0.25,25,0.6140648438470275,0.7593126780190024,0.62
0.25,26,0.4546005993182906,0.771892021201148,0.6
0.25,27,0.5215035640570493,0.7725135635489514,0.625
0.25,28,0.4593011505565538,0.7835631524256096,0.57
0.25,29,0.40507156404124783,0.7862947930336839,0.6
0.25,30,0.49087209420753014,0.7912351437647148,0.615
0.25,31,0.4971312555515171,0.780744580450459,0.665
0.25,32,0.5613652983839389,0.7717725156060549,0.635
0.25,33,0.3797065903973622,0.7944233371350207,0.635
0.25,34,0.5296082110161944,0.7674158542107616,0.615
0.25,35,0.5423397516906093,0.7641781854783443,0.605
0.25,36,0.602673760721351,0.7594168021170781,0.605
0.25,37,0.567740579737675,0.7671345175955511,0.58
0.25,38,0.3962070664679251,0.7873249695932387,0.63
0.25,39,0.4120924633031804,0.7934869445735144,0.59
0.25,40,0.5992057886013983,0.7678891877995179,0.635
0.25,41,0.524471390770491,0.763172646598763,0.565
0.25,42,0.4363906476282719,0.7886752706823614,0.585
0.25,43,0.45292637358854126,0.7719750042809019,0.58
0.25,44,0.5689198700383351,0.7694097408696143,0.64
0.25,45,0.30491404549103623,0.7799100490000551,0.595
0.25,46,0.3427529247111268,0.7891609792146859,0.655
0.25,47,0.5006060259133753,0.7801766383876336,0.62
0.25,48,0.33730858963864563,0.78382121655196,0.58
0.25,49,0.37688861893236714,0.7816402068988834,0.56
0.5,0,0.409263392111273,0.7479373159236506,0.6
