sigma,run,correlation,gini,top10_overlap
0.5,29,0.8092800663477031,0.6607535984731056,0.75
0.5,30,0.8178538902623478,0.6665845978595613,0.705
0.5,31,0.82351468344902,0.6445742013553075,0.705
0.5,32,0.8332744201118741,0.6663532580736411,0.775
0.5,33,0.8199011211129447,0.6669679234569428,0.765
0.5,34,0.8253909084953279,0.6728655012549828,0.78
0.5,35,0.8238119562851499,0.6548174557581892,0.745
0.5,36,0.8258536271283543,0.656790523945285,0.775
0.5,37,0.8203095710058187,0.6654553886851656,0.755
0.5,38,0.8124137911967584,0.6666918391636328,0.8
0.5,39,0.8179240728661215,0.6605038275965152,0.755
0.5,40,0.8132258837795733,0.6566616205024791,0.725
0.5,41,0.8158837860754594,0.6653145700142244,0.74
0.5,42,0.8226760677786561,0.6507125200845062,0.725
0.5,43,0.8181342745584279,0.6502590943069313,0.76
0.5,44,0.8213952849331916,0.6533054913828675,0.735
0.5,45,0.824830714990207,0.6660358905849488,0.765
0.5,46,0.8186198435823269,0.6509434595743249,0.785
0.5,47,0.8135449889977042,0.6545630934631413,0.76
0.5,48,0.8264143765486243,0.6640644541425776,0.73
0.5,49,0.8158526582036748,0.6615470128532729,0.75
1,0,0.843146976196014,0.5416843975742829,0.75
1,1,0.8467510237193004,0.5355119980325465,0.71
1,2,0.8440916280109239,0.5219423618335459,0.69
1,3,0.8483654155823155,0.5416006541457601,0.745
1,4,0.8493976218155371,0.5309816864957441,0.735
1,5,0.8473324295116383,0.5419981877553285,0.745
1,6,0.8531976176161348,0.5360630000942923,0.705
1,7,0.8451294155298145,0.5311843379397383,0.715
1,8,0.8549257323785869,0.5349224244219897,0.765
1,9,0.8446968750427419,0.5372365331052062,0.745
1,10,0.8437865144415649,0.5407695000029651,0.75
1,11,0.8486696290276726,0.5299712367097014,0.75
1,12,0.8518644564093648,0.5319058558283706,0.715
1,13,0.8456490304074292,0.5360130768492912,0.715
1,14,0.8600637475940712,0.5343984622100962,0.74
1,15,0.8487171773147405,0.5347962637510819,0.745
1,16,0.8500040255690055,0.535688349446139,0.71
1,17,0.8473229693826733,0.5442876412133891,0.695
1,18,0.8445287520017096,0.5423916776766154,0.76
1,19,0.8391151099658586,0.5442355061478957,0.72
1,20,0.8528983107350606,0.5265396596791568,0.695
1,21,0.8537358504239752,0.5364503134617039,0.755
1,22,0.8477041949726273,0.5367900133176816,0.74
1,23,0.8565993834888554,0.5288619480775818,0.715
1,24,0.8542055297946795,0.5282487616752427,0.74
1,25,0.8376161471492768,0.5351399789529402,0.73
1,26,0.8494776630498088,0.5320170569445807,0.735
1,27,0.8417012219440131,0.5278496844307754,0.685
1,28,0.8442191679771036,0.5413407029127811,0.785
1,29,0.8552611084760495,0.5306104179021479,0.715
1,30,0.8487773498022106,0.5309000324914614,0.66
1,31,0.8393869152173813,0.5352171933826304,0.755
1,32,0.8443647855756745,0.5364460682217198,0.69
1,33,0.8530842863467286,0.5352514771634187,0.73
1,34,0.8384139005027519,0.5280056282182953,0.77
1,35,0.8454671816911442,0.544232048443917,0.715
1,36,0.847007686753847,0.5253481155062147,0.74
1,37,0.8552361868379197,0.5371312499215073,0.75
1,38,0.8560886417247449,0.5302256245588401,0.72
1,39,0.853698539440923,0.5356638464799096,0.705
1,40,0.8520578360559197,0.5327372700813934,0.715
1,41,0.8560330999439458,0.5290527532630283,0.79
1,42,0.849613697951126,0.5464210241021585,0.755
1,43,0.8411771227717401,0.5385728728080167,0.72
1,44,0.8415287302716221,0.540881423571329,0.705
1,45,0.8456975186290392,0.5380475457730876,0.805
1,46,0.8472455173139621,0.526886388515527,0.735
1,47,0.8582565629682821,0.5377998184500914,0.755
1,48,0.840322984894596,0.5330520655119213,0.705
1,49,0.844783009269104,0.5411409995560552,0.73
1.25,0,0.8472374184298214,0.4832746810319141,0.69
1.25,1,0.8548426459912472,0.48147809697378713,0.735
1.25,2,0.8507331759718086,0.47608026812928156,0.68
1.25,3,0.8462491791985737,0.48888275656708113,0.735
1.25,4,0.8509817776063962,0.48395405308352224,0.72
1.25,5,0.85436659546407,0.4815730588969485,0.74
1.25,6,0.8532906768040593,0.4820720341632224,0.71
1.25,7,0.8541380350041303,0.4848430170918925,0.705
1.25,8,0.8543587589865158,0.4750972873708752,0.695
1.25,9,0.8540603244670881,0.4692782290265271,0.725
1.25,10,0.8482535814404667,0.4788378324521347,0.665
1.25,11,0.8584170130255698,0.4925752270162993,0.7
1.25,12,0.8548852036613982,0.4866283106428493,0.745
1.25,13,0.8576734434548752,0.4748319850467765,0.72
1.25,14,0.8584315603358321,0.4847922351037882,0.71
1.25,15,0.8494323004370417,0.48651434816232236,0.73
1.25,16,0.8482597849396006,0.4774254391280326,0.665
1.25,17,0.8573264613502791,0.480364647771221,0.665
1.25,18,0.8563085364841114,0.4744334940374615,0.715
1.25,19,0.8521573745325269,0.47801879639421196,0.7
1.25,20,0.8510190631960983,0.4860399271146677,0.685
1.25,21,0.8592957967279027,0.4728292358031061,0.685
1.25,22,0.8543956780485488,0.4913984225106318,0.78
1.25,23,0.8528519934312733,0.48825358317645795,0.735
1.25,24,0.8507487854751059,0.4755744427859908,0.73
1.25,25,0.8490526984536501,0.4711038526769258,0.69
1.25,26,0.8560860154662536,0.4782625081573334,0.71
1.25,27,0.8470377910900987,0.48540029536296747,0.68
1.25,28,0.8618699512565484,0.46951141025304544,0.715
1.25,29,0.8511059220089308,0.4890495356987729,0.73
1.25,30,0.8608550186415175,0.47907284271824246,0.73
1.25,31,0.8565544044110809,0.48561807350716,0.74
1.25,32,0.8544881912682029,0.48198566502829915,0.71
1.25,33,0.8485509743164601,0.4885515774225669,0.755
1.25,34,0.8469830977987114,0.47322128996578844,0.68
1.25,35,0.8551953756259321,0.4743055935816033,0.705
1.25,36,0.843759226447142,0.470226097466653,0.68
1.25,37,0.8488005138973229,0.4865043932972808,0.76
1.25,38,0.856038269229582,0.4794139795418276,0.73
1.25,39,0.8504206853526584,0.4927196385105347,0.74
1.25,40,0.8500289595363975,0.47473841653635973,0.69
1.25,41,0.8498296616891012,0.4868688715062034,0.715
1.25,42,0.8550826330816185,0.4787144602678978,0.73
1.25,43,0.8581347375455693,0.4779195961417783,0.705
1.25,44,0.8469343920842074,0.4844920259567467,0.705
1.25,45,0.8467134826239645,0.47503105350103586,0.69
1.25,46,0.8579356154184992,0.47770401953106834,0.69
1.25,47,0.8531527217600603,0.4819767984444456,0.705
1.25,48,0.8573317130602132,0.4740099030370676,0.71
1.25,49,0.8418581975782097,0.4790003333033149,0.72
1.5,0,0.8448239483694163,0.4300096303039344,0.675
1.5,1,0.8424518528398485,0.4394553978278723,0.665
1.5,2,0.8481878531336795,0.4398908352812946,0.68
1.5,3,0.860416562167802,0.423448305112185,0.67
1.5,4,0.8512371017443753,0.4303516387321415,0.69
1.5,5,0.8485887433748239,0.4436440357018891,0.645
1.5,6,0.847921554193018,0.4363734164399806,0.675
1.5,7,0.8492071522394937,0.44296402325299833,0.725
1.5,8,0.8630165046622383,0.42623094814223167,0.7
1.5,9,0.8490768662807885,0.4341191868460628,0.685
1.5,10,0.8635796911522265,0.4352552609393457,0.755
1.5,11,0.8544206647564342,0.4344091315288083,0.685
1.5,12,0.8519705095765512,0.4348707945353266,0.74
1.5,13,0.843357599002493,0.4348403877517333,0.68
1.5,14,0.8597307984220909,0.43131530084468195,0.69
